Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-09-24,Il signor Diavolo,2019,https://boxd.it/OVk21,2.5,,,2019-09-23
2019-10-07,Invisible Life,2019,https://boxd.it/PBonV,4.5,,,2019-10-06
2019-10-14,El Camino: A Breaking Bad Movie,2019,https://boxd.it/Q4skz,2.5,,,2019-10-14
2019-11-19,Young Ahmed,2019,https://boxd.it/Sek3X,,,,2019-11-18
2019-11-21,"I Love You, Daddy",2017,https://boxd.it/Sk7WH,2.5,Yes,,2019-11-20
2020-04-03,Adam's Rib,1949,https://boxd.it/13Qf2l,4,,,2020-04-02
2020-10-16,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1pehn3,3,,,2020-10-15
2021-03-01,Central Park,1989,https://boxd.it/1H3fsb,3.5,,,2021-02-28
2021-05-11,Chelsea on the Rocks,2008,https://boxd.it/1QYUtJ,3.5,Yes,,2021-05-10
2021-08-06,Flanders,2006,https://boxd.it/22Wooh,3.5,,,2021-08-05
2021-08-20,After Lucia,2012,https://boxd.it/24ZMRB,3,,,2021-08-20
