Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-09-24,Closeness,2017,https://boxd.it/OVkdX,3.5,,,2019-09-22
2019-09-24,On the Beach at Night Alone,2017,https://boxd.it/OWrzj,4,,,2019-09-24
2019-09-27,Burning,2018,https://boxd.it/P4NWl,4,,,2019-09-26
2019-09-29,Apocalypse Now,1979,https://boxd.it/PazuJ,5,,,2019-09-28
2019-10-01,Come and See,1985,https://boxd.it/Pi9RN,5,,,2019-09-29
2019-10-01,My Darling Clementine,1946,https://boxd.it/Pij9L,4,,,2019-09-30
2019-10-02,Odissea nell'ospizio,2019,https://boxd.it/PlrAB,2,,,2019-10-01
2019-10-03,The Rider,2017,https://boxd.it/PnrNf,3.5,,,2019-10-02
2019-10-04,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/Pt16B,4,,,2019-10-03
2019-10-06,The Beach Bum,2019,https://boxd.it/PxLWB,4.5,,,2019-10-04
2019-10-07,Loro,2018,https://boxd.it/PBrA9,4,,,2019-10-05
2019-10-07,Invisible Life,2019,https://boxd.it/PBrs5,4.5,Yes,,2019-10-06
2019-10-09,First Love,2019,https://boxd.it/PKDsJ,3.5,,,2019-10-08
2019-10-11,The Pirates! In an Adventure with Scientists!,2012,https://boxd.it/PRHnn,4.5,,,2019-10-10
2019-10-14,Gone Girl,2014,https://boxd.it/Q4uQ3,4,,,2019-10-11
2019-10-13,Barry Lyndon,1975,https://boxd.it/PZckD,5,,,2019-10-12
2019-10-14,El Camino: A Breaking Bad Movie,2019,https://boxd.it/Q4uUz,2.5,Yes,,2019-10-13
2019-10-15,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/Q8BRv,4.5,,,2019-10-14
2019-10-16,Shangri-La,2002,https://boxd.it/QcxBr,3,,,2019-10-15
2019-10-17,Killing Them Softly,2012,https://boxd.it/Qfk3H,4,,,2019-10-16
2019-10-23,Agitator,2001,https://boxd.it/QBqZh,3.5,,,2019-10-22
2019-10-26,Paddington,2014,https://boxd.it/QLzgF,3.5,,,2019-10-25
2019-10-29,Koyaanisqatsi,1982,https://boxd.it/QZlr3,4.5,,,2019-10-28
2019-10-30,Paddington 2,2017,https://boxd.it/R14NP,4,,,2019-10-29
2019-10-30,Team America: World Police,2004,https://boxd.it/R1f97,3,,,2019-10-29
2019-11-04,Ghostbusters,1984,https://boxd.it/Rj12R,3.5,,,2019-11-02
2019-11-05,Life Itself,2014,https://boxd.it/RphLv,3.5,,,2019-11-04
2019-11-05,Directed by John Ford,1971,https://boxd.it/RphWN,3,,,2019-11-04
2019-11-06,The Irishman,2019,https://boxd.it/RsxLn,4,,,2019-11-05
2019-11-08,"South Park: Bigger, Longer & Uncut",1999,https://boxd.it/Rzm4B,3.5,,,2019-11-07
