
Date,Name,Tags,URL,Description
2021-10-01,2021,,https://boxd.it/dxXtq,

Position,Name,Year,URL,Description
1,A Hero,2021,https://boxd.it/p2zw,
2,Annette,2021,https://boxd.it/f0RS,
3,The Hand of God,2021,https://boxd.it/r5uI,
4,Drive My Car,2021,https://boxd.it/sv94,
5,The Card Counter,2021,https://boxd.it/nTH0,
6,Another World,2021,https://boxd.it/oJ0i,
7,The King of Laughter,2021,https://boxd.it/oTtO,
8,Zeros and Ones,2021,https://boxd.it/sDyG,
9,Il buco,2021,https://boxd.it/ozry,
10,Parallel Mothers,2021,https://boxd.it/sOP4,
11,Last Night in Soho,2021,https://boxd.it/lbJC,
12,Old,2021,https://boxd.it/npKI,
13,Life of Crime: 1984-2020,2021,https://boxd.it/wg9m,
14,Bad Luck Banging or Loony Porn,2021,https://boxd.it/tJOM,
15,The Sparks Brothers,2021,https://boxd.it/tboq,
16,Happening,2021,https://boxd.it/tRts,
17,Sundown,2021,https://boxd.it/wgbs,
18,Lost Illusions,2021,https://boxd.it/oxSW,
19,Spencer,2021,https://boxd.it/qPMG,
20,Luca,2021,https://boxd.it/ipjC,
21,INU-OH,2021,https://boxd.it/nQDE,
22,The Inner Cage,2021,https://boxd.it/sRXq,
23,The Power of the Dog,2021,https://boxd.it/m99E,
24,The Giants,2021,https://boxd.it/vVEy,
25,Giulia,2021,https://boxd.it/wkVY,
26,Titane,2021,https://boxd.it/nlQC,
27,Wheel of Fortune and Fantasy,2021,https://boxd.it/tWcm,
28,A Chiara,2021,https://boxd.it/vqsm,
29,Marx Can Wait,2021,https://boxd.it/teVs,
30,The Worst Person in the World,2021,https://boxd.it/oyws,
31,The Cathedral,2021,https://boxd.it/wgls,
32,The Suicide Squad,2021,https://boxd.it/fw6O,
33,Mona Lisa and the Blood Moon,2021,https://boxd.it/iXY0,
34,Leave No Traces,2021,https://boxd.it/tFwO,
35,"Summer of Soul (...or, When the Revolution Could Not Be Televised)",2021,https://boxd.it/tbhu,
36,For Lucio,2021,https://boxd.it/sn4q,
37,Judas and the Black Messiah,2021,https://boxd.it/lsew,
38,Bad Trip,2021,https://boxd.it/lgRG,
39,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm,
40,Amira,2021,https://boxd.it/tXl0,
