
Date,Name,Tags,URL,Description
2022-01-20,Dumont,,https://boxd.it/f50qO,

Position,Name,Year,URL,Description
1,Humanité,1999,https://boxd.it/3Zq,
2,"Camille Claudel, 1915",2013,https://boxd.it/3IoQ,
3,Hadewijch,2009,https://boxd.it/2nm8,
4,Outside Satan,2011,https://boxd.it/3a0U,
5,Li'l Quinquin,2014,https://boxd.it/agCa,
6,Flanders,2006,https://boxd.it/1bek,
7,Jeannette: The Childhood of Joan of Arc,2017,https://boxd.it/dZ4I,
8,France,2021,https://boxd.it/mdP0,
9,CoinCoin and the Extra-Humans,2018,https://boxd.it/x4tG,
10,Slack Bay,2016,https://boxd.it/cTOI,
11,Joan of Arc,2019,https://boxd.it/jGfE,
12,The Life of Jesus,1997,https://boxd.it/1sBg,
13,Twentynine Palms,2003,https://boxd.it/1tug,
