
Date,Name,Tags,URL,Description
2021-09-18,Ferrara,,https://boxd.it/dqdNK,

Position,Name,Year,URL,Description
1,The Funeral,1996,https://boxd.it/1BC8,
2,The Addiction,1995,https://boxd.it/1cZQ,
3,Pasolini,2014,https://boxd.it/8LIk,
4,King of New York,1990,https://boxd.it/1Ynq,
5,Bad Lieutenant,1992,https://boxd.it/1Src,
6,Tommaso,2019,https://boxd.it/l8bi,
7,New Rose Hotel,1998,https://boxd.it/1BVY,
8,Dangerous Game,1993,https://boxd.it/Goo,
9,Sportin' Life,2020,https://boxd.it/rivu,
10,Zeros and Ones,2021,https://boxd.it/sDyG,
11,Ms .45,1981,https://boxd.it/1AWG,
12,Go Go Tales,2007,https://boxd.it/DVO,
13,The Blackout,1997,https://boxd.it/1vjk,
14,Body Snatchers,1993,https://boxd.it/23UE,
15,Welcome to New York,2014,https://boxd.it/5XhO,
16,Siberia,2020,https://boxd.it/fTZi,
17,Alive in France,2017,https://boxd.it/gazc,
18,Mary,2005,https://boxd.it/n4,
19,4:44 Last Day on Earth,2011,https://boxd.it/34SQ,
20,Mulberry St.,2010,https://boxd.it/3yQU,
21,The Driller Killer,1979,https://boxd.it/1PV4,
22,Fear City,1984,https://boxd.it/1Gv2,
23,Chelsea on the Rocks,2008,https://boxd.it/3ZvO,
24,Piazza Vittorio,2017,https://boxd.it/gYJm,
25,"Napoli, Napoli, Napoli",2009,https://boxd.it/3lY2,
26,'R Xmas,2001,https://boxd.it/GQC,
27,China Girl,1987,https://boxd.it/Lhi,
28,The Projectionist,2019,https://boxd.it/lHTO,
29,9 Lives of a Wet Pussycat,1976,https://boxd.it/8mMQ,
