
Date,Name,Tags,URL,Description
2020-05-16,Ford,,https://boxd.it/5wI6W,

Position,Name,Year,URL,Description
1,Stagecoach,1939,https://boxd.it/297S,
2,The Grapes of Wrath,1940,https://boxd.it/2a2u,
3,How Green Was My Valley,1941,https://boxd.it/UV2,
4,The Man Who Shot Liberty Valance,1962,https://boxd.it/1Tdg,
5,My Darling Clementine,1946,https://boxd.it/25LE,
6,The Searchers,1956,https://boxd.it/25HC,
7,Wagon Master,1950,https://boxd.it/18wU,
8,Young Mr. Lincoln,1939,https://boxd.it/Tsy,
9,The Informer,1935,https://boxd.it/Tjc,
10,The Quiet Man,1952,https://boxd.it/25Iq,
11,Drums Along the Mohawk,1939,https://boxd.it/2mtC,
12,They Were Expendable,1945,https://boxd.it/1GlQ,
13,She Wore a Yellow Ribbon,1949,https://boxd.it/1Pa8,
