
Date,Name,Tags,URL,Description
2020-05-16,Hawks,,https://boxd.it/5wHeK,

Position,Name,Year,URL,Description
1,Rio Bravo,1959,https://boxd.it/2aE4,
2,Bringing Up Baby,1938,https://boxd.it/29ks,
3,Red River,1948,https://boxd.it/25Lu,
4,His Girl Friday,1940,https://boxd.it/25M8,
5,Ball of Fire,1941,https://boxd.it/1ms8,
6,Scarface,1932,https://boxd.it/29oa,
7,Twentieth Century,1934,https://boxd.it/1ifE,
8,The Big Sleep,1946,https://boxd.it/29iQ,
9,Gentlemen Prefer Blondes,1953,https://boxd.it/29Hc,
10,Only Angels Have Wings,1939,https://boxd.it/Ttw,
11,I Was a Male War Bride,1949,https://boxd.it/1z4o,
12,Air Force,1943,https://boxd.it/1Lu4,
13,Hatari!,1962,https://boxd.it/1TYm,
