
Date,Name,Tags,URL,Description
2021-01-15,Kazan,,https://boxd.it/aS4WC,

Position,Name,Year,URL,Description
1,Splendor in the Grass,1961,https://boxd.it/1pig,
2,America America,1963,https://boxd.it/LbE,
3,A Streetcar Named Desire,1951,https://boxd.it/29Mc,
4,East of Eden,1955,https://boxd.it/2aQE,
5,On the Waterfront,1954,https://boxd.it/29TC,
6,The Last Tycoon,1976,https://boxd.it/17xW,
7,A Tree Grows in Brooklyn,1945,https://boxd.it/1lOi,
8,A Face in the Crowd,1957,https://boxd.it/2lyc,
9,Panic in the Streets,1950,https://boxd.it/1hMi,
10,The Arrangement,1969,https://boxd.it/I38,
11,Wild River,1960,https://boxd.it/2SSu,
12,Viva Zapata!,1952,https://boxd.it/286O,
13,Baby Doll,1956,https://boxd.it/11Hc,
14,Boomerang!,1947,https://boxd.it/1G2k,
15,The Visitors,1972,https://boxd.it/3uWu,
16,Gentleman's Agreement,1947,https://boxd.it/1f3U,
