
Date,Name,Tags,URL,Description
2020-05-09,Mankiewicz ,,https://boxd.it/5t8sc,

Position,Name,Year,URL,Description
1,"Suddenly, Last Summer",1959,https://boxd.it/1NyC,
2,All About Eve,1950,https://boxd.it/29LI,
3,The Barefoot Contessa,1954,https://boxd.it/1dsy,
4,King: A Filmed Record... Montgomery to Memphis,1970,https://boxd.it/4IUk,
5,The Ghost and Mrs. Muir,1947,https://boxd.it/1ANk,
6,5 Fingers,1952,https://boxd.it/iTM,
7,A Letter to Three Wives,1949,https://boxd.it/Pc2,
8,Sleuth,1972,https://boxd.it/298c,
9,House of Strangers,1949,https://boxd.it/1Eee,
10,Dragonwyck,1946,https://boxd.it/1ub0,
11,Somewhere in the Night,1946,https://boxd.it/1Eey,
12,Escape,1948,https://boxd.it/YZ8,
13,The Late George Apley,1947,https://boxd.it/5x32,
