
Date,Name,Tags,URL,Description
2021-10-01,Moretti,,https://boxd.it/dxXg2,

Position,Name,Year,URL,Description
1,Caro diario,1993,https://boxd.it/1vT8,
2,The Son's Room,2001,https://boxd.it/1TPE,
3,Palombella rossa,1989,https://boxd.it/oTo,
4,Sweet Dreams,1981,https://boxd.it/lqy,
5,Bianca,1984,https://boxd.it/1N06,
6,Mia madre,2015,https://boxd.it/abCO,
7,The Mass Is Over,1985,https://boxd.it/fjQ,
8,Aprile,1998,https://boxd.it/1hH8,
9,Ecce Bombo,1978,https://boxd.it/IQk,
10,"Santiago, Italia",2018,https://boxd.it/kySK,
11,The Caiman,2006,https://boxd.it/1jqe,
12,Three Floors,2021,https://boxd.it/mv2K,
13,I Am Self-Sufficient,1976,https://boxd.it/uAM,
14,We Have a Pope,2011,https://boxd.it/dai,
