
Date,Name,Tags,URL,Description
2021-09-19,Orson Casinaron,,https://boxd.it/drkhI,

Position,Name,Year,URL,Description
1,The Trial,1962,https://boxd.it/25Xg,
2,Citizen Kane,1941,https://boxd.it/71O,
3,The Immortal Story,1968,https://boxd.it/2YZ2,
4,Chimes at Midnight,1965,https://boxd.it/299k,
5,Touch of Evil,1958,https://boxd.it/28II,
6,The Lady from Shanghai,1947,https://boxd.it/251Q,
7,F for Fake,1973,https://boxd.it/VxA,
8,Othello,1951,https://boxd.it/K5A,
9,The Magnificent Ambersons,1942,https://boxd.it/29bK,
10,The Other Side of the Wind,2018,https://boxd.it/9w5Y,
11,Mr. Arkadin,1955,https://boxd.it/SZc,
12,Hopper/Welles,2020,https://boxd.it/rixK,
13,Macbeth,1948,https://boxd.it/1qKA,
14,The Stranger,1946,https://boxd.it/1DP4,
15,Filming Othello,1978,https://boxd.it/3T3Y,
