
Date,Name,Tags,URL,Description
2021-09-29,Polanski,,https://boxd.it/dwIIo,

Position,Name,Year,URL,Description
1,Chinatown,1974,https://boxd.it/29vU,
2,The Tenant,1976,https://boxd.it/1TKk,
3,Macbeth,1971,https://boxd.it/1U9k,
4,Rosemary's Baby,1968,https://boxd.it/29zM,
5,Death and the Maiden,1994,https://boxd.it/1W26,
6,Repulsion,1965,https://boxd.it/1TKu,
7,Venus in Fur,2013,https://boxd.it/5WhS,
8,The Pianist,2002,https://boxd.it/2aqc,
9,Tess,1979,https://boxd.it/1UAq,
10,An Officer and a Spy,2019,https://boxd.it/dZbE,
11,Cul-de-sac,1966,https://boxd.it/23QW,
12,Knife in the Water,1962,https://boxd.it/1THK,
13,The Ghost Writer,2010,https://boxd.it/1TQW,
14,Carnage,2011,https://boxd.it/2peU,
15,Bitter Moon,1992,https://boxd.it/1W76,
16,The Ninth Gate,1999,https://boxd.it/29YM,
17,Frantic,1988,https://boxd.it/1VFm,
18,Oliver Twist,2005,https://boxd.it/2aKG,
19,The Fearless Vampire Killers,1967,https://boxd.it/25Ri,
20,What?,1972,https://boxd.it/2QS8,
21,Based on a True Story,2017,https://boxd.it/eGvW,
