
Date,Name,Tags,URL,Description
2021-11-18,Rossellini,,https://boxd.it/e57yc,

Position,Name,Year,URL,Description
1,Journey to Italy,1954,https://boxd.it/26o2,
2,Blaise Pascal,1972,https://boxd.it/FAo,
3,Paisan,1946,https://boxd.it/20ay,
4,Europe '51,1952,https://boxd.it/Zji,
5,The Messiah,1975,https://boxd.it/20ao,
6,Stromboli,1950,https://boxd.it/24Js,
7,Germany Year Zero,1948,https://boxd.it/20FG,
8,"Rome, Open City",1945,https://boxd.it/2aD6,
9,General Della Rovere,1959,https://boxd.it/VhW,
10,Viva l'Italia!,1961,https://boxd.it/61JW,
11,The Taking of Power by Louis XIV,1966,https://boxd.it/2uMM,
12,The Flowers of St. Francis,1950,https://boxd.it/oTS,
13,India: Matri Bhumi,1959,https://boxd.it/4d5A,
14,L'amore,1948,https://boxd.it/UsO,
15,Where Is Freedom?,1954,https://boxd.it/2xla,
16,Fear,1954,https://boxd.it/3lmi,
