
Date,Name,Tags,URL,Description
2019-12-02,Top 2010s,,https://boxd.it/4iltc,

Position,Name,Year,URL,Description
1,Phantom Thread,2017,https://boxd.it/e4uc,
2,The Act of Killing,2012,https://boxd.it/44Cg,
3,'Til Madness Do Us Part,2013,https://boxd.it/6oFS,
4,Neruda,2016,https://boxd.it/bOAO,
5,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
6,The Tree of Life,2011,https://boxd.it/1Zu8,
7,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
8,Son of Saul,2015,https://boxd.it/b6r4,
9,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,
10,Holy Motors,2012,https://boxd.it/3wai,
11,The Master,2012,https://boxd.it/2cBG,
12,Silence,2016,https://boxd.it/2cAo,
13,Jackie,2016,https://boxd.it/d6bu,
14,The Wind Rises,2013,https://boxd.it/4JQS,
15,Lincoln,2012,https://boxd.it/2n2s,
16,Ex Libris: The New York Public Library,2017,https://boxd.it/fSVY,
17,One More Time with Feeling,2016,https://boxd.it/edaK,
18,The Childhood of a Leader,2015,https://boxd.it/aRce,
19,Elle,2016,https://boxd.it/bdhq,
20,The Pirates! In an Adventure with Scientists!,2012,https://boxd.it/2p1w,
21,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
22,The Wailing,2016,https://boxd.it/9fLy,
23,The Handmaiden,2016,https://boxd.it/948A,
24,Only God Forgives,2013,https://boxd.it/2HBs,
25,The Mafia Is No Longer What It Used to Be,2019,https://boxd.it/mRiU,
26,Inherent Vice,2014,https://boxd.it/5hla,
27,The Neon Demon,2016,https://boxd.it/9AnW,
28,A Field in England,2013,https://boxd.it/5tmk,
29,The Other Side of the Wind,2018,https://boxd.it/9w5Y,
30,Endless Poetry,2016,https://boxd.it/aANs,
31,The House That Jack Built,2018,https://boxd.it/dWO4,
32,Zumiriki,2019,https://boxd.it/mRDI,
33,The Last Circus,2010,https://boxd.it/obw,
34,The Beach Bum,2019,https://boxd.it/fH4O,
35,The Strange Color of Your Body's Tears,2013,https://boxd.it/6el4,
36,The Look of Silence,2014,https://boxd.it/8006,
37,Our Time,2018,https://boxd.it/dAje,
38,First Reformed,2017,https://boxd.it/go9C,
39,Parasite,2019,https://boxd.it/hTha,
40,Kubo and the Two Strings,2016,https://boxd.it/a4wE,
41,Martin Eden,2019,https://boxd.it/lqNO,
42,Roma,2018,https://boxd.it/f69M,
43,The Irishman,2019,https://boxd.it/dYOq,
44,A Quiet Passion,2016,https://boxd.it/cMXe,
45,The Hateful Eight,2015,https://boxd.it/8gw8,
46,Laurence Anyways,2012,https://boxd.it/3HQu,
47,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,
48,Citizenfour,2014,https://boxd.it/9eSe,
49,Faces Places,2017,https://boxd.it/g7ck,
50,The Man Who Killed Don Quixote,2018,https://boxd.it/9rkY,
