
Date,Name,Tags,URL,Description
2019-11-15,Top 2019,top10,https://boxd.it/4depC,

Position,Name,Year,URL,Description
1,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,
2,The Lighthouse,2019,https://boxd.it/icFU,
3,Zumiriki,2019,https://boxd.it/mRDI,
4,The Mafia Is No Longer What It Used to Be,2019,https://boxd.it/mRiU,
5,Invisible Life,2019,https://boxd.it/k1JU,
6,Bacurau,2019,https://boxd.it/fSUG,
7,The Beach Bum,2019,https://boxd.it/fH4O,
8,Uncut Gems,2019,https://boxd.it/gXGc,
9,Parasite,2019,https://boxd.it/hTha,
10,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
11,Martin Eden,2019,https://boxd.it/lqNO,
12,The Irishman,2019,https://boxd.it/dYOq,
13,The Traitor,2019,https://boxd.it/l8d4,
14,The Bears' Famous Invasion of Sicily,2019,https://boxd.it/jAFw,
15,Midsommar,2019,https://boxd.it/jhxe,
16,An Officer and a Spy,2019,https://boxd.it/dZbE,
17,Knives Out,2019,https://boxd.it/jWEA,
18,Ad Astra,2019,https://boxd.it/ePzI,
19,Marriage Story,2019,https://boxd.it/hJAw,
20,Tommaso,2019,https://boxd.it/l8bi,
21,Liberte,2019,https://boxd.it/lXB2,
22,Us,2019,https://boxd.it/gnV6,
23,Space Dogs,2019,https://boxd.it/mMYc,
24,Beanpole,2019,https://boxd.it/iK9S,
25,Ema,2019,https://boxd.it/jHWa,
26,It Must Be Heaven,2019,https://boxd.it/jEVe,
27,"A White, White Day",2019,https://boxd.it/lZWQ,
28,Vitalina Varela,2019,https://boxd.it/gMWo,
29,Booksmart,2019,https://boxd.it/igNS,
30,Doctor Sleep,2019,https://boxd.it/i5vI,
