
Date,Name,Tags,URL,Description
2020-10-31,Van Sant,,https://boxd.it/95vNK,

Position,Name,Year,URL,Description
1,Paranoid Park,2007,https://boxd.it/27GQ,
2,Elephant,2003,https://boxd.it/287i,
3,Gerry,2002,https://boxd.it/27LG,
4,Drugstore Cowboy,1989,https://boxd.it/2aj6,
5,Last Days,2005,https://boxd.it/28lY,
6,My Own Private Idaho,1991,https://boxd.it/2ak4,
7,Milk,2008,https://boxd.it/1WZC,
8,Good Will Hunting,1997,https://boxd.it/2ahY,
9,"Don't Worry, He Won't Get Far on Foot",2018,https://boxd.it/fLeo,
