
Date,Name,Tags,URL,Description
2021-01-03,Zulawski,,https://boxd.it/aIcjo,

Position,Name,Year,URL,Description
1,On the Silver Globe,1988,https://boxd.it/1sAM,
2,Possession,1981,https://boxd.it/1BPm,
3,Mad Love,1985,https://boxd.it/3oGA,
4,Cosmos,2015,https://boxd.it/abCE,
5,The Third Part of the Night,1971,https://boxd.it/Miw,
6,The Devil,1972,https://boxd.it/3iRC,
7,The Public Woman,1984,https://boxd.it/2tAU,
8,Boris Godounov,1989,https://boxd.it/3pXs,
9,That Most Important Thing: Love,1975,https://boxd.it/25mk,
10,Fidelity,2000,https://boxd.it/EIQ,
11,Szamanka,1996,https://boxd.it/2Q14,
12,My Nights Are More Beautiful Than Your Days,1989,https://boxd.it/2we8,
13,The Blue Note,1991,https://boxd.it/3loy,
