Date,Name,Year,Letterboxd URI,Rating
2017-03-03,The Wild Bunch,1969,https://boxd.it/2a5y,5
2017-03-03,Blue Velvet,1986,https://boxd.it/29BI,5
2017-03-03,Nocturnal Animals,2016,https://boxd.it/bkFu,3.5
2017-03-03,The Neon Demon,2016,https://boxd.it/9AnW,4.5
2017-03-03,Drive,2011,https://boxd.it/IG,4
2017-03-03,Valhalla Rising,2009,https://boxd.it/17lc,3.5
2017-03-03,The Cabin in the Woods,2011,https://boxd.it/1zOc,3.5
2018-09-09,Stripped,2018,https://boxd.it/j9tI,3
2018-09-09,The Truk,2018,https://boxd.it/jDYw,2.5
2018-09-09,My Masterpiece,2018,https://boxd.it/jv20,3
2018-09-09,The Favourite,2018,https://boxd.it/d2hI,3.5
2018-09-09,Your Face,2018,https://boxd.it/jBjG,4
2018-09-09,The Announcement,2018,https://boxd.it/jBVq,3.5
2018-09-09,Close Enemies,2018,https://boxd.it/hrHu,3
2018-09-09,Peterloo,2018,https://boxd.it/e02S,3.5
2018-09-09,The Quietude,2018,https://boxd.it/hmZo,1
2018-09-09,"El Pepe, A Supreme Life",2018,https://boxd.it/jD60,2
2018-09-09,Carmine Street Guitars,2018,https://boxd.it/jDVi,2.5
2018-09-09,Vox Lux,2018,https://boxd.it/fcFk,3
2018-09-09,At Eternity's Gate,2018,https://boxd.it/hI40,2.5
2018-09-09,Shadow,2018,https://boxd.it/gzLi,3
2018-09-09,Death in Venice,1971,https://boxd.it/21tm,4.5
2018-09-09,The Tree of Life,2011,https://boxd.it/1Zu8,5
2018-09-09,Capri-Revolution,2018,https://boxd.it/jBgM,2
2019-09-01,Francisca,1981,https://boxd.it/3IYO,4
2019-09-01,Marriage Story,2019,https://boxd.it/hJAw,4
2019-09-01,5 Is the Perfect Number,2019,https://boxd.it/kYxy,2.5
2019-09-01,Sole,2019,https://boxd.it/lqQI,2
2019-09-01,Valmont,1989,https://boxd.it/17WW,3.5
2019-09-01,Booksmart,2019,https://boxd.it/igNS,3.5
2019-09-01,A Cure for Wellness,2016,https://boxd.it/bkQW,3.5
2019-09-01,It,2017,https://boxd.it/bC8e,2.5
2019-09-01,Shin Godzilla,2016,https://boxd.it/a9lm,4
2019-09-01,The Graduate,1967,https://boxd.it/18Im,4.5
2019-09-01,Castaway on the Moon,2009,https://boxd.it/1GXU,3.5
2019-09-01,The Club,2015,https://boxd.it/amQC,4
2019-09-03,The Painted Bird,2019,https://boxd.it/h8u2,1
2019-09-03,No. 7 Cherry Lane,2019,https://boxd.it/mMg0,1.5
2019-09-03,My Days of Glory,2019,https://boxd.it/lqRc,2.5
2019-09-03,Our Time,2018,https://boxd.it/dAje,4.5
2019-09-03,The Incredible Shrinking Man,1957,https://boxd.it/1ixS,4
2019-09-03,Midsommar,2019,https://boxd.it/jhxe,4
2019-09-03,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2019-09-03,About Endlessness,2019,https://boxd.it/bHua,3
2019-09-04,45 Seconds of Laughter,2019,https://boxd.it/mRV8,3
2019-09-04,Saturday Fiction,2019,https://boxd.it/hXmo,3.5
2019-09-04,Babyteeth,2019,https://boxd.it/iWDU,2.5
2019-09-05,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG,5
2019-09-05,Gloria Mundi,2019,https://boxd.it/l1cI,2.5
2019-09-06,Crash,1996,https://boxd.it/29n2,5
2019-09-06,The Domain,2019,https://boxd.it/mQB2,2.5
2019-09-06,Volare,2019,https://boxd.it/mGqS,1
2019-09-06,The Mafia Is No Longer What It Used to Be,2019,https://boxd.it/mRiU,4.5
2019-09-07,Ecstasy,1933,https://boxd.it/Vee,4
2019-09-07,Giants Being Lonely,2019,https://boxd.it/mRKY,2
2019-09-07,Joker,2019,https://boxd.it/h4cS,3
2019-09-07,Zumiriki,2019,https://boxd.it/mRDI,4.5
2019-09-07,Eyes Wide Shut,1999,https://boxd.it/2axs,5
2019-09-10,Videodrome,1983,https://boxd.it/29uC,5
2019-09-10,Once Upon a Time in the West,1968,https://boxd.it/2az4,5
2019-09-10,Vertigo,1958,https://boxd.it/2apI,5
2019-09-10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,5
2019-09-10,Citizen Kane,1941,https://boxd.it/71O,5
2019-09-10,Greed,1924,https://boxd.it/28Pa,5
2019-09-10,Mulholland Drive,2001,https://boxd.it/297o,5
2019-09-10,Napoleon,1927,https://boxd.it/WEC,5
2019-09-10,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,5
2019-09-10,A Page of Madness,1926,https://boxd.it/3i2u,5
2019-09-10,The Act of Killing,2012,https://boxd.it/44Cg,5
2019-09-10,The Thin Red Line,1998,https://boxd.it/1ZTM,5
2019-09-10,Once Upon a Time in America,1984,https://boxd.it/2aCs,5
2019-09-10,Metropolis,1927,https://boxd.it/71a,5
2019-09-10,M,1931,https://boxd.it/29vq,5
2019-09-10,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,5
2019-09-10,Sunrise: A Song of Two Humans,1927,https://boxd.it/29Xk,5
2019-09-10,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,5
2019-09-10,The Hateful Eight,2015,https://boxd.it/8gw8,4
2019-09-10,No Country for Old Men,2007,https://boxd.it/21ew,5
2019-09-10,The Big Lebowski,1998,https://boxd.it/2b6C,5
2019-09-10,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,5
2019-09-10,Stalker,1979,https://boxd.it/28PO,5
2019-09-10,Battleship Potemkin,1925,https://boxd.it/29Vo,5
2019-09-10,Tokyo Story,1953,https://boxd.it/1HuY,5
2019-09-10,Raging Bull,1980,https://boxd.it/28yI,5
2019-09-10,Arsenal,1929,https://boxd.it/32dm,5
2019-09-10,Late Spring,1949,https://boxd.it/1DkK,5
2019-09-10,Ugetsu,1953,https://boxd.it/1NyM,5
2019-09-10,October (Ten Days that Shook the World),1927,https://boxd.it/29N0,5
