Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-12-21,The Lighthouse,2019,https://boxd.it/UgkEV,5,,https://youtu.be/l1dnqKGuezo,,2019-12-20
2019-12-26,The Lighthouse,2019,https://boxd.it/UFCiX,5,Yes,https://youtu.be/l1dnqKGuezo,,2019-12-25
2020-01-02,Wings of Desire,1987,https://boxd.it/VmIej,4.5,,Mezza stellin in più perché Peter Falk è incontrastabilmente il più grande attore del mondo,,2020-01-01
2020-02-12,A Serious Man,2009,https://boxd.it/Z7Et1,4.5,Yes,La scena del secondo rabbino è tuttora una delle cose più clamorose che abbia mai visto,,2020-02-11
2020-02-19,I Hate Summer,2020,https://boxd.it/ZNN5V,2.5,,Brunori SAS deve bruciare all'inferno,,2020-02-18
2020-02-22,THX 1138,1971,https://boxd.it/102tJh,4,,Lucas torna a sfondarti di LSD e piantala di vendere pupazzetti grazie,,2020-02-21
2020-02-24,CURRENT,,https://boxd.it/10huB9,3.5,,NEGATIVI+LYNGH+DSUGAMODO,,2020-02-24
2020-02-26,Heaven's Gate,1980,https://boxd.it/10oDUX,5,Yes,"Insieme a Barry Lyndon e C'era Una Volta In America, top splendore cinematografico",,2020-02-25
2020-03-02,All About My Mother,1999,https://boxd.it/10PX97,4,,Praticamente una puntata de Il Segreto ma con i tranvioni,,2020-03-02
2020-03-03,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/10S9fl,4.5,Yes,Fascinett discretin borghesucc,,2020-03-02
2020-03-05,Princess Mononoke,1997,https://boxd.it/1114o1,4,Yes,Visto mangiando gli avanzi del cinghiale con patate cucinato da mia nonna. Delizioso.,,2020-03-04
2020-03-09,Cool Cat Saves the Kids,2015,https://boxd.it/11lo67,5,,"YEAH, IT'S A MASTERPIECE",,2020-03-09
2020-03-09,Cool Cat's Crazy Dream,2019,,4,,Un esercizio di stile gradevole ma fine a se stesso,,2020-03-09
2020-03-11,Fateful Findings,2013,https://boxd.it/11u1dR,4,,COSE CHE CADONO,,2020-03-11
2020-03-12,The Fanatic,2019,https://boxd.it/11xXEx,1.5,,Rap-metal was a mistake,,2020-03-12
2020-03-13,Memories of Murder,2003,https://boxd.it/11B8Oz,4.5,Yes,"Ok, questo è il migliore",,2020-03-12
2020-03-20,La Flor,2018,https://boxd.it/12eA1N,5,,"1. ANDREA NIGRO
2. TRANQUILA
3. JA LO SAI
4. NUMERO QUATTRO",,2020-03-20
2020-03-22,Tokyo Tribe,2014,https://boxd.it/12qDRB,3.5,,Sion sono grande erede di ozu,,2020-03-21
2020-03-23,The Platform,2019,https://boxd.it/12ytwJ,3,Yes,In effetti non è tutto sto granché,,2020-03-22
2020-03-24,The Invisible Man,2020,https://boxd.it/12GnP7,3,,"Metà delle cose che succedono si capiscono dal decimo minuto, ma tutto sommato gradevolin",,2020-03-23
